NODE_ID,FLOOR,AISLE,COLUMN,__DEPOT__,n00001,n00002,n00003,n00004,n00005,n00006,n00007,n00008,n00009,n00010,n00011,n00012,n00013,n00014,n00015,n00016,n00017,n00018,n00019,n00020,n00021,n00022,n00023,n00024,n00025,n00026,n00027,n00028,n00029,n00030,n00031,n00032,n00033,n00034,n00035,n00036,n00037,n00038,n00039,n00040,n00041,n00042,n00043,n00044,n00045,n00046,n00047,n00048,n00049,n00050,n00051,n00052,n00053,n00054,n00055,n00056,n00057,n00058,n00059,n00060,n00061,n00062,n00063,n00064,n00065,n00066,n00067,n00068,n00069,n00070,n00071,n00072,n00073,n00074,n00075,n00076,n00077,n00078,n00079,n00080,n00081,n00082,n00083,n00084,n00085,n00086,n00087,n00088,n00089,n00090,n00091,n00092,n00093,n00094,n00095,n00096,n00097,n00098,n00099,n00100,n00101,n00102,n00103,n00104,n00105,n00106,n00107,n00108,n00109,n00110,n00111,n00112,n00113,n00114,n00115,n00116,n00117,n00118,n00119,n00120,n00121,n00122,n00123,n00124,n00125,n00126,n00127,n00128,n00129,n00130,n00131,n00132,n00133,n00134,n00135,n00136,n00137,n00138,n00139,n00140,n00141,n00142,n00143,n00144,n00145,n00146,n00147,n00148,n00149,n00150,n00151,n00152,n00153,n00154,n00155,n00156,n00157,n00158,n00159,n00160,n00161,n00162,n00163,n00164,n00165,n00166,n00167,n00168,n00169,n00170,n00171,n00172,n00173,n00174,n00175,n00176,n00177,n00178,n00179,n00180,n00181,n00182,n00183,n00184,n00185,n00186,n00187,n00188,n00189,n00190,n00191,n00192,n00193,n00194,n00195,n00196,n00197,n00198,n00199,n00200,n00201,n00202,n00203
__DEPOT__,,,,0,47.61,50.51,53.41,62.11,73.51,85.11,96.71,38.13,41.03,43.93,46.83,49.73,52.63,55.53,58.43,61.33,64.23,72.73,75.63,81.43,87.23,93.03,46.05,48.95,57.65,60.55,71.95,77.75,83.55,89.35,36.57,39.47,42.37,45.27,48.17,51.07,53.97,56.87,65.37,68.27,74.07,76.97,82.77,29.99,38.69,47.39,50.29,53.19,73.29,76.19,79.09,26.31,32.11,35.01,37.91,40.81,43.71,46.61,49.51,58.01,60.91,63.81,66.71,69.61,72.51,75.41,78.31,22.63,25.53,37.13,42.93,54.33,60.13,63.03,68.83,74.63,18.95,21.85,24.75,27.65,33.45,39.25,42.15,50.65,53.55,56.45,59.35,62.25,65.15,68.05,70.95,19.73,22.63,43.71,27.09,29.99,38.69,41.59,47.39,50.29,58.79,61.69,64.59,67.49,70.39,73.29,79.09,33.67,36.57,39.47,42.37,45.27,51.07,53.97,62.47,65.37,68.27,71.17,76.97,79.87,82.77,34.45,37.35,40.25,46.05,48.95,51.85,54.75,57.65,69.05,71.95,80.65,83.55,86.45,89.35,39.47,42.37,45.27,48.17,51.07,53.97,62.47,65.37,68.27,71.17,74.07,76.97,79.87,85.67,29.99,32.89,35.79,38.69,41.59,44.49,47.39,50.29,53.19,58.79,61.69,64.59,70.39,73.29,26.31,29.21,35.01,37.91,40.81,43.71,46.61,58.01,60.91,66.71,69.61,75.41,19.73,22.63,25.53,28.43,31.33,34.23,37.13,40.03,51.43,54.33,57.23,60.13,63.03,65.93,71.73,16.05,21.85,24.75,33.45,36.35,39.25,47.75,50.65,53.55,59.35,62.25,65.15,68.05
n00001,MZN1,1,3,47.61,0,2.9,5.8,14.5,25.9,37.5,49.1,15.08,17.98,20.88,23.78,26.68,29.58,32.48,35.38,32.48,29.58,32.48,35.38,41.18,46.98,52.78,30.36,33.26,36.16,33.26,39.06,44.86,50.66,56.46,28.24,31.14,34.04,36.94,39.84,42.74,39.84,36.94,39.84,42.74,48.54,51.44,57.24,29.02,37.72,46.42,43.52,40.62,55.12,58.02,60.92,32.7,38.5,41.4,44.3,47.2,50.1,47.2,44.3,47.2,50.1,53,55.9,58.8,61.7,64.6,67.5,36.38,39.28,50.88,50.88,50.88,56.68,59.58,65.38,71.18,40.06,42.96,45.86,48.76,54.56,54.56,51.66,54.56,57.46,60.36,63.26,66.16,69.06,71.96,74.86,40.84,43.74,64.82,48.2,51.1,59.8,62.7,68.5,65.6,62.7,65.6,68.5,71.4,74.3,77.2,83,54.78,57.68,60.58,63.48,66.38,72.18,69.28,66.38,69.28,72.18,75.08,80.88,83.78,86.68,55.56,58.46,61.36,67.16,70.06,72.96,75.86,72.96,72.96,75.86,84.56,87.46,90.36,93.26,67.94,70.84,73.74,76.64,79.54,76.64,73.74,76.64,79.54,82.44,85.34,88.24,91.14,96.94,65.82,68.72,71.62,74.52,77.42,80.32,83.22,80.32,77.42,77.42,80.32,83.22,89.02,91.92,69.5,72.4,78.2,81.1,84,86.9,84,84,86.9,92.7,95.6,101.4,70.28,73.18,76.08,78.98,81.88,84.78,87.68,90.58,84.78,87.68,90.58,93.48,96.38,99.28,105.08,73.96,79.76,82.66,91.36,94.26,91.36,88.46,91.36,94.26,100.06,102.96,105.86,108.76
n00002,MZN1,1,4,50.51,2.9,0,2.9,11.6,23,34.6,46.2,17.98,20.88,23.78,26.68,29.58,32.48,35.38,32.48,29.58,26.68,29.58,32.48,38.28,44.08,49.88,33.26,36.16,33.26,30.36,36.16,41.96,47.76,53.56,31.14,34.04,36.94,39.84,42.74,39.84,36.94,34.04,36.94,39.84,45.64,48.54,54.34,31.92,40.62,43.52,40.62,37.72,52.22,55.12,58.02,35.6,41.4,44.3,47.2,50.1,47.2,44.3,41.4,44.3,47.2,50.1,53,55.9,58.8,61.7,64.6,39.28,42.18,53.78,47.98,47.98,53.78,56.68,62.48,68.28,42.96,45.86,48.76,51.66,57.46,51.66,48.76,51.66,54.56,57.46,60.36,63.26,66.16,69.06,71.96,43.74,46.64,61.92,51.1,54,62.7,65.6,65.6,62.7,59.8,62.7,65.6,68.5,71.4,74.3,80.1,57.68,60.58,63.48,66.38,69.28,69.28,66.38,63.48,66.38,69.28,72.18,77.98,80.88,83.78,58.46,61.36,64.26,70.06,72.96,75.86,72.96,70.06,70.06,72.96,81.66,84.56,87.46,90.36,70.84,73.74,76.64,79.54,76.64,73.74,70.84,73.74,76.64,79.54,82.44,85.34,88.24,94.04,68.72,71.62,74.52,77.42,80.32,83.22,80.32,77.42,74.52,74.52,77.42,80.32,86.12,89.02,72.4,75.3,81.1,84,86.9,84,81.1,81.1,84,89.8,92.7,98.5,73.18,76.08,78.98,81.88,84.78,87.68,90.58,87.68,81.88,84.78,87.68,90.58,93.48,96.38,102.18,76.86,82.66,85.56,94.26,91.36,88.46,85.56,88.46,91.36,97.16,100.06,102.96,105.86
n00003,MZN1,1,5,53.41,5.8,2.9,0,8.7,20.1,31.7,43.3,20.88,23.78,26.68,29.58,32.48,35.38,32.48,29.58,26.68,23.78,26.68,29.58,35.38,41.18,46.98,36.16,39.06,30.36,27.46,33.26,39.06,44.86,50.66,34.04,36.94,39.84,42.74,39.84,36.94,34.04,31.14,34.04,36.94,42.74,45.64,51.44,34.82,43.52,40.62,37.72,34.82,49.32,52.22,55.12,38.5,44.3,47.2,50.1,47.2,44.3,41.4,38.5,41.4,44.3,47.2,50.1,53,55.9,58.8,61.7,42.18,45.08,50.88,45.08,45.08,50.88,53.78,59.58,65.38,45.86,48.76,51.66,54.56,54.56,48.76,45.86,48.76,51.66,54.56,57.46,60.36,63.26,66.16,69.06,46.64,49.54,59.02,54,56.9,65.6,68.5,62.7,59.8,56.9,59.8,62.7,65.6,68.5,71.4,77.2,60.58,63.48,66.38,69.28,72.18,66.38,63.48,60.58,63.48,66.38,69.28,75.08,77.98,80.88,61.36,64.26,67.16,72.96,75.86,72.96,70.06,67.16,67.16,70.06,78.76,81.66,84.56,87.46,73.74,76.64,79.54,76.64,73.74,70.84,67.94,70.84,73.74,76.64,79.54,82.44,85.34,91.14,71.62,74.52,77.42,80.32,83.22,80.32,77.42,74.52,71.62,71.62,74.52,77.42,83.22,86.12,75.3,78.2,84,86.9,84,81.1,78.2,78.2,81.1,86.9,89.8,95.6,76.08,78.98,81.88,84.78,87.68,90.58,87.68,84.78,78.98,81.88,84.78,87.68,90.58,93.48,99.28,79.76,85.56,88.46,91.36,88.46,85.56,82.66,85.56,88.46,94.26,97.16,100.06,102.96
n00004,MZN1,1,8,62.11,14.5,11.6,8.7,0,11.4,23,34.6,29.58,32.48,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,17.98,20.88,26.68,32.48,38.28,33.26,30.36,21.66,18.76,24.56,30.36,36.16,41.96,42.74,39.84,36.94,34.04,31.14,28.24,25.34,22.44,25.34,28.24,34.04,36.94,42.74,43.52,40.62,31.92,29.02,26.12,40.62,43.52,46.42,47.2,47.2,44.3,41.4,38.5,35.6,32.7,29.8,32.7,35.6,38.5,41.4,44.3,47.2,50.1,53,50.88,53.78,42.18,36.38,36.38,42.18,45.08,50.88,56.68,54.56,57.46,54.56,51.66,45.86,40.06,37.16,40.06,42.96,45.86,48.76,51.66,54.56,57.46,60.36,55.34,58.24,50.32,62.7,65.6,62.7,59.8,54,51.1,48.2,51.1,54,56.9,59.8,62.7,68.5,69.28,72.18,69.28,66.38,63.48,57.68,54.78,51.88,54.78,57.68,60.58,66.38,69.28,72.18,70.06,72.96,75.86,70.06,67.16,64.26,61.36,58.46,58.46,61.36,70.06,72.96,75.86,78.76,76.64,73.74,70.84,67.94,65.04,62.14,59.24,62.14,65.04,67.94,70.84,73.74,76.64,82.44,80.32,83.22,80.32,77.42,74.52,71.62,68.72,65.82,62.92,62.92,65.82,68.72,74.52,77.42,84,86.9,81.1,78.2,75.3,72.4,69.5,69.5,72.4,78.2,81.1,86.9,84.78,87.68,90.58,87.68,84.78,81.88,78.98,76.08,70.28,73.18,76.08,78.98,81.88,84.78,90.58,88.46,94.26,91.36,82.66,79.76,76.86,73.96,76.86,79.76,85.56,88.46,91.36,94.26
n00005,MZN1,1,11,73.51,25.9,23,20.1,11.4,0,11.6,23.2,35.38,32.48,29.58,26.68,23.78,20.88,17.98,15.08,12.18,9.28,12.18,15.08,20.88,26.68,32.48,27.46,24.56,15.86,12.96,18.76,24.56,30.36,36.16,36.94,34.04,31.14,28.24,25.34,22.44,19.54,16.64,19.54,22.44,28.24,31.14,36.94,43.52,34.82,26.12,23.22,20.32,34.82,37.72,40.62,47.2,41.4,38.5,35.6,32.7,29.8,26.9,24,26.9,29.8,32.7,35.6,38.5,41.4,44.3,47.2,50.88,47.98,36.38,30.58,30.58,36.38,39.28,45.08,50.88,54.56,51.66,48.76,45.86,40.06,34.26,31.36,34.26,37.16,40.06,42.96,45.86,48.76,51.66,54.56,61.14,58.24,44.52,68.5,65.6,56.9,54,48.2,45.3,42.4,45.3,48.2,51.1,54,56.9,62.7,69.28,66.38,63.48,60.58,57.68,51.88,48.98,46.08,48.98,51.88,54.78,60.58,63.48,66.38,75.86,72.96,70.06,64.26,61.36,58.46,55.56,52.66,52.66,55.56,64.26,67.16,70.06,72.96,70.84,67.94,65.04,62.14,59.24,56.34,53.44,56.34,59.24,62.14,65.04,67.94,70.84,76.64,80.32,77.42,74.52,71.62,68.72,65.82,62.92,60.02,57.12,57.12,60.02,62.92,68.72,71.62,84,81.1,75.3,72.4,69.5,66.6,63.7,63.7,66.6,72.4,75.3,81.1,90.58,87.68,84.78,81.88,78.98,76.08,73.18,70.28,64.48,67.38,70.28,73.18,76.08,78.98,84.78,94.26,88.46,85.56,76.86,73.96,71.06,68.16,71.06,73.96,79.76,82.66,85.56,88.46
n00006,MZN1,1,15,85.11,37.5,34.6,31.7,23,11.6,0,11.6,46.98,44.08,41.18,38.28,35.38,32.48,29.58,26.68,23.78,20.88,23.78,26.68,32.48,32.48,26.68,39.06,36.16,27.46,24.56,30.36,36.16,36.16,30.36,48.54,45.64,42.74,39.84,36.94,34.04,31.14,28.24,31.14,34.04,39.84,42.74,36.94,55.12,46.42,37.72,34.82,31.92,46.42,43.52,40.62,58.8,53,50.1,47.2,44.3,41.4,38.5,35.6,38.5,41.4,44.3,47.2,50.1,47.2,44.3,41.4,62.48,59.58,47.98,42.18,42.18,47.98,50.88,50.88,45.08,66.16,63.26,60.36,57.46,51.66,45.86,42.96,45.86,48.76,51.66,54.56,57.46,54.56,51.66,48.76,72.74,69.84,56.12,80.1,77.2,68.5,65.6,59.8,56.9,54,56.9,59.8,62.7,65.6,68.5,62.7,80.88,77.98,75.08,72.18,69.28,63.48,60.58,57.68,60.58,63.48,66.38,72.18,69.28,66.38,87.46,84.56,81.66,75.86,72.96,70.06,67.16,64.26,64.26,67.16,75.86,72.96,70.06,67.16,82.44,79.54,76.64,73.74,70.84,67.94,65.04,67.94,70.84,73.74,76.64,79.54,76.64,70.84,91.92,89.02,86.12,83.22,80.32,77.42,74.52,71.62,68.72,68.72,71.62,74.52,80.32,83.22,95.6,92.7,86.9,84,81.1,78.2,75.3,75.3,78.2,84,86.9,81.1,102.18,99.28,96.38,93.48,90.58,87.68,84.78,81.88,76.08,78.98,81.88,84.78,87.68,90.58,84.78,105.86,100.06,97.16,88.46,85.56,82.66,79.76,82.66,85.56,91.36,94.26,91.36,88.46
n00007,MZN1,1,19,96.71,49.1,46.2,43.3,34.6,23.2,11.6,0,58.58,55.68,52.78,49.88,46.98,44.08,41.18,38.28,35.38,32.48,35.38,32.48,26.68,20.88,15.08,50.66,47.76,39.06,36.16,36.16,30.36,24.56,18.76,60.14,57.24,54.34,51.44,48.54,45.64,42.74,39.84,42.74,39.84,34.04,31.14,25.34,66.72,58.02,49.32,46.42,43.52,34.82,31.92,29.02,70.4,64.6,61.7,58.8,55.9,53,50.1,47.2,50.1,47.2,44.3,41.4,38.5,35.6,32.7,29.8,74.08,71.18,59.58,53.78,53.78,47.98,45.08,39.28,33.48,77.76,74.86,71.96,69.06,63.26,57.46,54.56,57.46,54.56,51.66,48.76,45.86,42.96,40.06,37.16,84.34,81.44,67.72,91.7,88.8,80.1,77.2,71.4,68.5,65.6,68.5,65.6,62.7,59.8,56.9,51.1,92.48,89.58,86.68,83.78,80.88,75.08,72.18,69.28,72.18,69.28,66.38,60.58,57.68,54.78,99.06,96.16,93.26,87.46,84.56,81.66,78.76,75.86,75.86,72.96,64.26,61.36,58.46,55.56,94.04,91.14,88.24,85.34,82.44,79.54,76.64,79.54,76.64,73.74,70.84,67.94,65.04,59.24,103.52,100.62,97.72,94.82,91.92,89.02,86.12,83.22,80.32,80.32,83.22,80.32,74.52,71.62,107.2,104.3,98.5,95.6,92.7,89.8,86.9,86.9,84,78.2,75.3,69.5,113.78,110.88,107.98,105.08,102.18,99.28,96.38,93.48,87.68,90.58,87.68,84.78,81.88,78.98,73.18,117.46,111.66,108.76,100.06,97.16,94.26,91.36,94.26,91.36,85.56,82.66,79.76,76.86
n00008,MZN1,2,1,38.13,15.08,17.98,20.88,29.58,35.38,46.98,58.58,0,2.9,5.8,8.7,11.6,14.5,17.4,20.3,23.2,26.1,34.6,37.5,43.3,49.1,54.9,20.88,23.78,32.48,35.38,41.18,46.98,52.78,58.58,18.76,21.66,24.56,27.46,30.36,33.26,36.16,39.06,41.96,44.86,50.66,53.56,59.36,19.54,28.24,36.94,39.84,42.74,57.24,60.14,63.04,23.22,29.02,31.92,34.82,37.72,40.62,43.52,46.42,49.32,52.22,55.12,58.02,60.92,63.82,66.72,69.62,26.9,29.8,41.4,47.2,53,58.8,61.7,67.5,73.3,30.58,33.48,36.38,39.28,45.08,50.88,53.78,56.68,59.58,62.48,65.38,68.28,71.18,74.08,76.98,31.36,34.26,55.34,38.72,41.62,50.32,53.22,59.02,61.92,64.82,67.72,70.62,73.52,76.42,79.32,85.12,45.3,48.2,51.1,54,56.9,62.7,65.6,68.5,71.4,74.3,77.2,83,85.9,88.8,46.08,48.98,51.88,57.68,60.58,63.48,66.38,69.28,75.08,77.98,86.68,89.58,92.48,95.38,58.46,61.36,64.26,67.16,70.06,72.96,75.86,78.76,81.66,84.56,87.46,90.36,93.26,99.06,56.34,59.24,62.14,65.04,67.94,70.84,73.74,76.64,79.54,79.54,82.44,85.34,91.14,94.04,60.02,62.92,68.72,71.62,74.52,77.42,80.32,86.12,89.02,94.82,97.72,103.52,60.8,63.7,66.6,69.5,72.4,75.3,78.2,81.1,86.9,89.8,92.7,95.6,98.5,101.4,107.2,64.48,70.28,73.18,81.88,84.78,87.68,90.58,93.48,96.38,102.18,105.08,107.98,110.88
n00009,MZN1,2,2,41.03,17.98,20.88,23.78,32.48,32.48,44.08,55.68,2.9,0,2.9,5.8,8.7,11.6,14.5,17.4,20.3,23.2,31.7,34.6,40.4,46.2,52,23.78,26.68,35.38,32.48,38.28,44.08,49.88,55.68,21.66,24.56,27.46,30.36,33.26,36.16,39.06,36.16,39.06,41.96,47.76,50.66,56.46,22.44,31.14,39.84,42.74,39.84,54.34,57.24,60.14,26.12,31.92,34.82,37.72,40.62,43.52,46.42,43.52,46.42,49.32,52.22,55.12,58.02,60.92,63.82,66.72,29.8,32.7,44.3,50.1,50.1,55.9,58.8,64.6,70.4,33.48,36.38,39.28,42.18,47.98,53.78,50.88,53.78,56.68,59.58,62.48,65.38,68.28,71.18,74.08,34.26,37.16,58.24,41.62,44.52,53.22,56.12,61.92,64.82,61.92,64.82,67.72,70.62,73.52,76.42,82.22,48.2,51.1,54,56.9,59.8,65.6,68.5,65.6,68.5,71.4,74.3,80.1,83,85.9,48.98,51.88,54.78,60.58,63.48,66.38,69.28,72.18,72.18,75.08,83.78,86.68,89.58,92.48,61.36,64.26,67.16,70.06,72.96,75.86,72.96,75.86,78.76,81.66,84.56,87.46,90.36,96.16,59.24,62.14,65.04,67.94,70.84,73.74,76.64,79.54,76.64,76.64,79.54,82.44,88.24,91.14,62.92,65.82,71.62,74.52,77.42,80.32,83.22,83.22,86.12,91.92,94.82,100.62,63.7,66.6,69.5,72.4,75.3,78.2,81.1,84,84,86.9,89.8,92.7,95.6,98.5,104.3,67.38,73.18,76.08,84.78,87.68,90.58,87.68,90.58,93.48,99.28,102.18,105.08,107.98
n00010,MZN1,2,3,43.93,20.88,23.78,26.68,35.38,29.58,41.18,52.78,5.8,2.9,0,2.9,5.8,8.7,11.6,14.5,17.4,20.3,28.8,31.7,37.5,43.3,49.1,26.68,29.58,32.48,29.58,35.38,41.18,46.98,52.78,24.56,27.46,30.36,33.26,36.16,39.06,36.16,33.26,36.16,39.06,44.86,47.76,53.56,25.34,34.04,42.74,39.84,36.94,51.44,54.34,57.24,29.02,34.82,37.72,40.62,43.52,46.42,43.52,40.62,43.52,46.42,49.32,52.22,55.12,58.02,60.92,63.82,32.7,35.6,47.2,47.2,47.2,53,55.9,61.7,67.5,36.38,39.28,42.18,45.08,50.88,50.88,47.98,50.88,53.78,56.68,59.58,62.48,65.38,68.28,71.18,37.16,40.06,61.14,44.52,47.42,56.12,59.02,64.82,61.92,59.02,61.92,64.82,67.72,70.62,73.52,79.32,51.1,54,56.9,59.8,62.7,68.5,65.6,62.7,65.6,68.5,71.4,77.2,80.1,83,51.88,54.78,57.68,63.48,66.38,69.28,72.18,69.28,69.28,72.18,80.88,83.78,86.68,89.58,64.26,67.16,70.06,72.96,75.86,72.96,70.06,72.96,75.86,78.76,81.66,84.56,87.46,93.26,62.14,65.04,67.94,70.84,73.74,76.64,79.54,76.64,73.74,73.74,76.64,79.54,85.34,88.24,65.82,68.72,74.52,77.42,80.32,83.22,80.32,80.32,83.22,89.02,91.92,97.72,66.6,69.5,72.4,75.3,78.2,81.1,84,86.9,81.1,84,86.9,89.8,92.7,95.6,101.4,70.28,76.08,78.98,87.68,90.58,87.68,84.78,87.68,90.58,96.38,99.28,102.18,105.08
n00011,MZN1,2,4,46.83,23.78,26.68,29.58,32.48,26.68,38.28,49.88,8.7,5.8,2.9,0,2.9,5.8,8.7,11.6,14.5,17.4,25.9,28.8,34.6,40.4,46.2,29.58,32.48,29.58,26.68,32.48,38.28,44.08,49.88,27.46,30.36,33.26,36.16,39.06,36.16,33.26,30.36,33.26,36.16,41.96,44.86,50.66,28.24,36.94,39.84,36.94,34.04,48.54,51.44,54.34,31.92,37.72,40.62,43.52,46.42,43.52,40.62,37.72,40.62,43.52,46.42,49.32,52.22,55.12,58.02,60.92,35.6,38.5,50.1,44.3,44.3,50.1,53,58.8,64.6,39.28,42.18,45.08,47.98,53.78,47.98,45.08,47.98,50.88,53.78,56.68,59.58,62.48,65.38,68.28,40.06,42.96,58.24,47.42,50.32,59.02,61.92,61.92,59.02,56.12,59.02,61.92,64.82,67.72,70.62,76.42,54,56.9,59.8,62.7,65.6,65.6,62.7,59.8,62.7,65.6,68.5,74.3,77.2,80.1,54.78,57.68,60.58,66.38,69.28,72.18,69.28,66.38,66.38,69.28,77.98,80.88,83.78,86.68,67.16,70.06,72.96,75.86,72.96,70.06,67.16,70.06,72.96,75.86,78.76,81.66,84.56,90.36,65.04,67.94,70.84,73.74,76.64,79.54,76.64,73.74,70.84,70.84,73.74,76.64,82.44,85.34,68.72,71.62,77.42,80.32,83.22,80.32,77.42,77.42,80.32,86.12,89.02,94.82,69.5,72.4,75.3,78.2,81.1,84,86.9,84,78.2,81.1,84,86.9,89.8,92.7,98.5,73.18,78.98,81.88,90.58,87.68,84.78,81.88,84.78,87.68,93.48,96.38,99.28,102.18
n00012,MZN1,2,5,49.73,26.68,29.58,32.48,29.58,23.78,35.38,46.98,11.6,8.7,5.8,2.9,0,2.9,5.8,8.7,11.6,14.5,23,25.9,31.7,37.5,43.3,32.48,35.38,26.68,23.78,29.58,35.38,41.18,46.98,30.36,33.26,36.16,39.06,36.16,33.26,30.36,27.46,30.36,33.26,39.06,41.96,47.76,31.14,39.84,36.94,34.04,31.14,45.64,48.54,51.44,34.82,40.62,43.52,46.42,43.52,40.62,37.72,34.82,37.72,40.62,43.52,46.42,49.32,52.22,55.12,58.02,38.5,41.4,47.2,41.4,41.4,47.2,50.1,55.9,61.7,42.18,45.08,47.98,50.88,50.88,45.08,42.18,45.08,47.98,50.88,53.78,56.68,59.58,62.48,65.38,42.96,45.86,55.34,50.32,53.22,61.92,64.82,59.02,56.12,53.22,56.12,59.02,61.92,64.82,67.72,73.52,56.9,59.8,62.7,65.6,68.5,62.7,59.8,56.9,59.8,62.7,65.6,71.4,74.3,77.2,57.68,60.58,63.48,69.28,72.18,69.28,66.38,63.48,63.48,66.38,75.08,77.98,80.88,83.78,70.06,72.96,75.86,72.96,70.06,67.16,64.26,67.16,70.06,72.96,75.86,78.76,81.66,87.46,67.94,70.84,73.74,76.64,79.54,76.64,73.74,70.84,67.94,67.94,70.84,73.74,79.54,82.44,71.62,74.52,80.32,83.22,80.32,77.42,74.52,74.52,77.42,83.22,86.12,91.92,72.4,75.3,78.2,81.1,84,86.9,84,81.1,75.3,78.2,81.1,84,86.9,89.8,95.6,76.08,81.88,84.78,87.68,84.78,81.88,78.98,81.88,84.78,90.58,93.48,96.38,99.28
n00013,MZN1,2,6,52.63,29.58,32.48,35.38,26.68,20.88,32.48,44.08,14.5,11.6,8.7,5.8,2.9,0,2.9,5.8,8.7,11.6,20.1,23,28.8,34.6,40.4,35.38,32.48,23.78,20.88,26.68,32.48,38.28,44.08,33.26,36.16,39.06,36.16,33.26,30.36,27.46,24.56,27.46,30.36,36.16,39.06,44.86,34.04,42.74,34.04,31.14,28.24,42.74,45.64,48.54,37.72,43.52,46.42,43.52,40.62,37.72,34.82,31.92,34.82,37.72,40.62,43.52,46.42,49.32,52.22,55.12,41.4,44.3,44.3,38.5,38.5,44.3,47.2,53,58.8,45.08,47.98,50.88,53.78,47.98,42.18,39.28,42.18,45.08,47.98,50.88,53.78,56.68,59.58,62.48,45.86,48.76,52.44,53.22,56.12,64.82,61.92,56.12,53.22,50.32,53.22,56.12,59.02,61.92,64.82,70.62,59.8,62.7,65.6,68.5,65.6,59.8,56.9,54,56.9,59.8,62.7,68.5,71.4,74.3,60.58,63.48,66.38,72.18,69.28,66.38,63.48,60.58,60.58,63.48,72.18,75.08,77.98,80.88,72.96,75.86,72.96,70.06,67.16,64.26,61.36,64.26,67.16,70.06,72.96,75.86,78.76,84.56,70.84,73.74,76.64,79.54,76.64,73.74,70.84,67.94,65.04,65.04,67.94,70.84,76.64,79.54,74.52,77.42,83.22,80.32,77.42,74.52,71.62,71.62,74.52,80.32,83.22,89.02,75.3,78.2,81.1,84,86.9,84,81.1,78.2,72.4,75.3,78.2,81.1,84,86.9,92.7,78.98,84.78,87.68,84.78,81.88,78.98,76.08,78.98,81.88,87.68,90.58,93.48,96.38
n00014,MZN1,2,7,55.53,32.48,35.38,32.48,23.78,17.98,29.58,41.18,17.4,14.5,11.6,8.7,5.8,2.9,0,2.9,5.8,8.7,17.2,20.1,25.9,31.7,37.5,32.48,29.58,20.88,17.98,23.78,29.58,35.38,41.18,36.16,39.06,36.16,33.26,30.36,27.46,24.56,21.66,24.56,27.46,33.26,36.16,41.96,36.94,39.84,31.14,28.24,25.34,39.84,42.74,45.64,40.62,46.42,43.52,40.62,37.72,34.82,31.92,29.02,31.92,34.82,37.72,40.62,43.52,46.42,49.32,52.22,44.3,47.2,41.4,35.6,35.6,41.4,44.3,50.1,55.9,47.98,50.88,53.78,50.88,45.08,39.28,36.38,39.28,42.18,45.08,47.98,50.88,53.78,56.68,59.58,48.76,51.66,49.54,56.12,59.02,61.92,59.02,53.22,50.32,47.42,50.32,53.22,56.12,59.02,61.92,67.72,62.7,65.6,68.5,65.6,62.7,56.9,54,51.1,54,56.9,59.8,65.6,68.5,71.4,63.48,66.38,69.28,69.28,66.38,63.48,60.58,57.68,57.68,60.58,69.28,72.18,75.08,77.98,75.86,72.96,70.06,67.16,64.26,61.36,58.46,61.36,64.26,67.16,70.06,72.96,75.86,81.66,73.74,76.64,79.54,76.64,73.74,70.84,67.94,65.04,62.14,62.14,65.04,67.94,73.74,76.64,77.42,80.32,80.32,77.42,74.52,71.62,68.72,68.72,71.62,77.42,80.32,86.12,78.2,81.1,84,86.9,84,81.1,78.2,75.3,69.5,72.4,75.3,78.2,81.1,84,89.8,81.88,87.68,90.58,81.88,78.98,76.08,73.18,76.08,78.98,84.78,87.68,90.58,93.48
n00015,MZN1,2,8,58.43,35.38,32.48,29.58,20.88,15.08,26.68,38.28,20.3,17.4,14.5,11.6,8.7,5.8,2.9,0,2.9,5.8,14.3,17.2,23,28.8,34.6,29.58,26.68,17.98,15.08,20.88,26.68,32.48,38.28,39.06,36.16,33.26,30.36,27.46,24.56,21.66,18.76,21.66,24.56,30.36,33.26,39.06,39.84,36.94,28.24,25.34,22.44,36.94,39.84,42.74,43.52,43.52,40.62,37.72,34.82,31.92,29.02,26.12,29.02,31.92,34.82,37.72,40.62,43.52,46.42,49.32,47.2,50.1,38.5,32.7,32.7,38.5,41.4,47.2,53,50.88,53.78,50.88,47.98,42.18,36.38,33.48,36.38,39.28,42.18,45.08,47.98,50.88,53.78,56.68,51.66,54.56,46.64,59.02,61.92,59.02,56.12,50.32,47.42,44.52,47.42,50.32,53.22,56.12,59.02,64.82,65.6,68.5,65.6,62.7,59.8,54,51.1,48.2,51.1,54,56.9,62.7,65.6,68.5,66.38,69.28,72.18,66.38,63.48,60.58,57.68,54.78,54.78,57.68,66.38,69.28,72.18,75.08,72.96,70.06,67.16,64.26,61.36,58.46,55.56,58.46,61.36,64.26,67.16,70.06,72.96,78.76,76.64,79.54,76.64,73.74,70.84,67.94,65.04,62.14,59.24,59.24,62.14,65.04,70.84,73.74,80.32,83.22,77.42,74.52,71.62,68.72,65.82,65.82,68.72,74.52,77.42,83.22,81.1,84,86.9,84,81.1,78.2,75.3,72.4,66.6,69.5,72.4,75.3,78.2,81.1,86.9,84.78,90.58,87.68,78.98,76.08,73.18,70.28,73.18,76.08,81.88,84.78,87.68,90.58
